match_id,break_number,half,fixture,home,away,start_minute,disruption,percentile,n_candidates,has_claim,stage,cell
77,1,H1,Côte d'Ivoire v Norway,Côte d'Ivoire,Norway,24,1,52.94117647058824,17,False,Round of 32,mid
77,2,H2,Côte d'Ivoire v Norway,Côte d'Ivoire,Norway,68,2,72.72727272727273,11,False,Round of 32,mid
78,1,H1,France v Sweden,France,Sweden,23,1,33.33333333333333,18,False,Round of 32,true_null
78,2,H2,France v Sweden,France,Sweden,68,2,41.66666666666667,12,False,Round of 32,true_null
79,1,H1,Mexico v Ecuador,Mexico,Ecuador,25,1,,0,False,Round of 32,unscored
79,2,H2,Mexico v Ecuador,Mexico,Ecuador,68,3,100.0,18,False,Round of 32,hidden_effect
80,1,H1,England v Congo DR,England,Congo DR,23,0,25.0,16,True,Round of 32,perception_illusion
80,2,H2,England v Congo DR,England,Congo DR,68,4,54.54545454545454,11,True,Round of 32,mid
81,1,H1,Belgium v Senegal,Belgium,Senegal,27,1,100.0,3,False,Round of 32,hidden_effect
81,2,H2,Belgium v Senegal,Belgium,Senegal,70,2,64.70588235294117,17,False,Round of 32,mid
82,1,H1,USA v Bosnia and Herzegovina,USA,Bosnia and Herzegovina,23,0,38.88888888888889,18,False,Round of 32,true_null
82,2,H2,USA v Bosnia and Herzegovina,USA,Bosnia and Herzegovina,69,1,40.0,10,False,Round of 32,true_null
83,1,H1,Spain v Austria,Spain,Austria,24,1,35.714285714285715,14,False,Round of 32,true_null
83,2,H2,Spain v Austria,Spain,Austria,68,2,71.42857142857143,7,False,Round of 32,mid
84,1,H1,Portugal v Croatia,Portugal,Croatia,24,1,72.22222222222221,18,False,Round of 32,mid
84,2,H2,Portugal v Croatia,Portugal,Croatia,69,5,100.0,6,False,Round of 32,hidden_effect
85,1,H1,Switzerland v Algeria,Switzerland,Algeria,25,0,53.84615384615385,13,False,Round of 32,mid
85,2,H2,Switzerland v Algeria,Switzerland,Algeria,67,1,66.66666666666666,18,False,Round of 32,mid
86,1,H1,Australia v Egypt,Australia,Egypt,23,1,100.0,10,False,Round of 32,hidden_effect
86,2,H2,Australia v Egypt,Australia,Egypt,68,1,53.84615384615385,13,False,Round of 32,mid
87,1,H1,Argentina v Cabo Verde,Argentina,Cabo Verde,25,0,23.076923076923077,13,False,Round of 32,true_null
87,2,H2,Argentina v Cabo Verde,Argentina,Cabo Verde,73,4,100.0,9,False,Round of 32,hidden_effect
88,1,H1,Colombia v Ghana,Colombia,Ghana,24,2,100.0,9,False,Round of 32,hidden_effect
88,2,H2,Colombia v Ghana,Colombia,Ghana,69,4,83.33333333333334,18,False,Round of 32,hidden_effect
89,1,H1,Paraguay v France,Paraguay,France,23,2,77.77777777777779,18,False,Round of 16,mid
89,2,H2,Paraguay v France,Paraguay,France,73,1,50.0,2,False,Round of 16,true_null
90,1,H1,Canada v Morocco,Canada,Morocco,24,2,100.0,18,False,Round of 16,hidden_effect
90,2,H2,Canada v Morocco,Canada,Morocco,68,2,100.0,15,False,Round of 16,hidden_effect
91,1,H1,Brazil v Norway,Brazil,Norway,27,0,23.076923076923077,13,False,Round of 16,true_null
91,2,H2,Brazil v Norway,Brazil,Norway,68,2,41.66666666666667,12,False,Round of 16,true_null
92,1,H1,Mexico v England,Mexico,England,23,0,42.857142857142854,14,False,Round of 16,true_null
92,2,H2,Mexico v England,Mexico,England,71,2,100.0,4,False,Round of 16,hidden_effect
93,1,H1,Portugal v Spain,Portugal,Spain,23,2,38.88888888888889,18,False,Round of 16,true_null
93,2,H2,Portugal v Spain,Portugal,Spain,68,2,83.33333333333334,18,False,Round of 16,hidden_effect
94,1,H1,USA v Belgium,USA,Belgium,24,0,0.0,8,False,Round of 16,true_null
94,2,H2,USA v Belgium,USA,Belgium,69,1,36.36363636363637,11,False,Round of 16,true_null
95,1,H1,Argentina v Egypt,Argentina,Egypt,23,2,0.0,1,False,Round of 16,true_null
