team,player,minute,direction,source,match_id
Congo DR,Ngalayel MUKAU,45,off,pdf_marker,46
Congo DR,Samuel MOUTOUSSAMY,82,off,pdf_marker,46
Congo DR,Cedric BAKAMBU,57,off,pdf_marker,46
Congo DR,Edo KAYEMBE,72,off,pdf_marker,46
Congo DR,Arthur MASUAKU,72,off,pdf_marker,46
Congo DR,Nathanael MBUKU Third,82,on,pdf_marker,46
Congo DR,Joris KAYEMBE,72,on,pdf_marker,46
Congo DR,Noah SADIKI,45,on,pdf_marker,46
Congo DR,Charles PICKEL,72,on,pdf_marker,46
Congo DR,Simon BANZA,57,on,pdf_marker,46
England,Elliot ANDERSON,74,off,pdf_marker,47
England,Jude BELLINGHAM,74,off,pdf_marker,47
England,Anthony GORDON,65,off,pdf_marker,47
England,Nico OREILLY,66,on,pdf_marker,47
England,Bukayo SAKA,65,on,pdf_marker,47
England,Marcus RASHFORD,83,on,pdf_marker,47
England,Morgan ROGERS,74,on,pdf_marker,47
England,Eberechi EZE,74,on,pdf_marker,47
Ghana,Jordan AYEW,67,off,pdf_marker,47
Ghana,Inaki WILLIAMS,66,off,pdf_marker,47
Ghana,Marvin SENAYA,87,off,pdf_marker,47
Ghana,Abdul FATAWU,66,on,pdf_marker,47
Ghana,Kojo Peprah OPPONG,87,on,pdf_marker,47
Ghana,Prince ADU,67,on,pdf_marker,47
England,Azuka Tristan Madueke,83,off,lineup_derived,47
England,Tehuti Djed-Hotep Spence,65,off,lineup_derived,47
Ghana,Abdul Rahman Rahman,89,on,lineup_derived,47
Panama,Cesar BLACKMAN,90,off,pdf_marker_late,48
Panama,Edgar Yoel BARCENAS,90,off,pdf_marker_late,48
Panama,Jiovany RAMOS,77,off,pdf_marker,48
Panama,Jose FAJARDO,83,off,pdf_marker,48
Panama,Tomas RODRIGUEZ,90,on,pdf_marker,48
Panama,Eric DAVIS,90,on,pdf_marker,48
Panama,Cecilio WATERMAN,77,on,pdf_marker,48
Panama,Azarias LONDONO,83,on,pdf_marker,48
Croatia,Josko GVARDIOL,45,off,pdf_marker,48
Croatia,Mateo KOVACIC,72,off,pdf_marker,48
Croatia,Luka MODRIC,81,off,pdf_marker,48
Croatia,Marco PASALIC,72,off,pdf_marker,48
Croatia,Petar MUSA,45,off,pdf_marker,48
Croatia,Andrej KRAMARIC,45,on,pdf_marker,48
Croatia,Ante BUDIMIR,45,on,pdf_marker,48
Croatia,Mario PASALIC,81,on,pdf_marker,48
Croatia,Petar SUCIC,72,on,pdf_marker,48
Croatia,Luka SUCIC,72,on,pdf_marker,48
Czechia,Tomas HOLES,64,off,pdf_marker,49
Czechia,Adam HLOZEK,64,off,pdf_marker,49
Czechia,Lukas CERV,87,off,pdf_marker,49
Czechia,Denis VISINSKY,56,off,pdf_marker,49
