match_id,sofascore_id,break_number,half,stage,start_minute,manifest_start,manifest_end,duration_display_min,band_quality,commentary_minute,n_commentary,timing_consistent,margin,leadside,orient,pre_level,pre_slope,post_level,wbgt,tempC,local_hour,elo_home,elo_away,elo_gap_or,unit
56,15186891,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,-1,4.0,-1.3,9.0,19.3,17.0,19,1815.0,1800.0,-15.0,T15186891_68
57,15186907,1,H1,GRP,27,27.0,30.0,3.0,ok,,,True,0,level,1,15.8,-8.9,3.4,26.4,28.4,16,1864.0,1954.0,-90.0,T15186907_27
57,15186907,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,0,level,1,30.8,0.1,-2.4,26.4,28.4,16,1864.0,1954.0,-90.0,T15186907_69
58,15186908,1,H1,GRP,23,23.0,71.0,,implausible_end,,,True,1,away,-1,27.8,1.7,22.8,27.6,30.4,16,1453.0,1728.0,275.0,T15186908_23
58,15186908,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,2,away,-1,14.4,3.1,15.0,27.6,30.4,16,1453.0,1728.0,275.0,T15186908_68
59,15186973,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,2,away,-1,41.2,9.4,13.0,25.7,21.9,18,1570.0,1972.0,402.0,T15186973_23
59,15186973,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,2,away,-1,65.0,6.9,40.2,25.7,21.9,18,1570.0,1972.0,402.0,T15186973_69
60,15186972,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,0,level,1,10.0,3.6,-6.4,32.6,32.9,18,1925.0,1727.0,198.0,T15186972_24
60,15186972,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,-1,53.6,0.8,2.2,32.6,32.9,18,1925.0,1727.0,-198.0,T15186972_68
61,15186822,1,H1,GRP,24,24.0,26.0,2.0,ok,,,True,0,level,-1,25.6,-3.7,17.0,18.8,15.4,20,1534.0,1884.0,350.0,T15186822_24
61,15186822,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,3,away,-1,26.6,-6.3,24.8,18.8,15.4,20,1534.0,1884.0,350.0,T15186822_69
62,15186828,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,14.6,16.0,13.2,18.7,16.4,20,1742.0,1764.0,-22.0,T15186828_23
62,15186828,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,0,level,1,48.6,7.6,19.8,18.7,16.4,20,1742.0,1764.0,-22.0,T15186828_69
63,15186841,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,-1,55.6,6.1,14.4,23.5,23.4,18,1841.0,2144.0,303.0,T15186841_23
63,15186841,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,1,away,-1,3.2,-6.5,3.2,23.5,23.4,18,1841.0,2144.0,303.0,T15186841_68
64,15186803,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,0,level,-1,11.2,-6.9,-8.0,31.8,32.7,19,1622.0,1596.0,-26.0,T15186803_24
64,15186803,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,0,level,1,11.6,0.2,5.2,31.8,32.7,19,1622.0,1596.0,26.0,T15186803_69
65,15186537,1,H1,GRP,24,24.0,58.0,,implausible_end,,,True,1,away,-1,29.8,-4.3,27.4,25.6,22.8,15,1951.0,2090.0,139.0,T15186537_24
